Exchange Date,Open,Return,Missing
11-Aug-2018,6184.32,-4.78%,
23-Mar-2021,54580,-4.74%,
15-Jan-2018,13500.04,-4.73%,
13-Jul-2022,19446,-4.73%,
29-Aug-2019,9663.5,-4.69%,
06-Jul-2021,33851,-4.69%,
09-May-2023,27556,-4.68%,
27-Aug-2022,20651.43,-4.62%,
12-Apr-2019,5055.02,-4.57%,
19-Mar-2018,7480.44,-4.52%,
23-Feb-2021,54948.2,-4.49%,
11-Dec-2018,3397.3,-4.48%,
04-Mar-2022,42067.27,-4.47%,
06-Dec-2018,3722.6,-4.47%,
17-Jun-2022,20671.31,-4.46%,
27-Oct-2019,9246.08,-4.43%,
07-Apr-2022,43878.13,-4.36%,
01-Jul-2021,34576.96,-4.35%,
16-May-2020,9238.74,-4.33%,
21-Jan-2021,34903.15,-4.33%,
13-May-2021,54469.4,-4.28%,
05-Jun-2021,37052.46,-4.26%,
26-Mar-2018,8543.26,-4.26%,
25-Feb-2018,9499.33,-4.25%,
18-Sep-2018,6209.73,-4.22%,
09-Sep-2018,6171.42,-4.21%,
11-Aug-2019,11355.4,-4.21%,
19-Nov-2021,57592.09,-4.20%,
14-Jun-2018,6258.76,-4.16%,
21-Apr-2020,6862,-4.16%,
21-Feb-2022,38274.38,-4.14%,
14-Apr-2020,6825.25,-4.14%,
11-Jul-2018,6386.15,-4.14%,
26-Aug-2020,11257.68,-4.12%,
09-Nov-2019,8830.6,-4.07%,
13-Aug-2021,44474.02,-4.05%,
08-Jun-2021,34441.65,-4.04%,
26-Apr-2018,9066.66,-4.00%,
15-Jul-2019,10479,-3.94%,
17-Apr-2018,7990.34,-3.92%,
24-Nov-2018,4254.17,-3.91%,
25-Sep-2021,42964.38,-3.90%,
17-Dec-2022,16721.5,-3.86%,
19-Nov-2019,8215.47,-3.86%,
20-Apr-2023,29247,-3.86%,
07-Sep-2022,18979,-3.84%,
10-Aug-2022,23146,-3.83%,
16-Feb-2020,9921.9,-3.82%,
11-May-2021,55307.46,-3.79%,
28-Jul-2019,9452,-3.79%,
01-Jan-2019,3674,-3.76%,
30-Jan-2018,11196.55,-3.76%,
29-Jan-2019,3415.46,-3.75%,
21-May-2022,29099.22,-3.75%,
26-Mar-2021,51990.47,-3.75%,
10-Mar-2018,8981.78,-3.70%,
26-Sep-2018,6378.63,-3.70%,
23-May-2018,8095.49,-3.67%,
22-Dec-2018,3846.97,-3.65%,
10-Jun-2019,7683,-3.65%,
18-Dec-2019,6617.5,-3.63%,
05-May-2021,54751.93,-3.63%,
03-Jan-2020,6955.81,-3.61%,
09-Jun-2022,30181.77,-3.61%,
31-Mar-2018,6844.04,-3.61%,
22-Sep-2020,10497,-3.60%,
01-Dec-2019,7486.25,-3.60%,
17-Jun-2021,38520.99,-3.60%,
31-Jan-2023,22747.5,-3.60%,
26-May-2021,37626.53,-3.58%,
21-Apr-2023,28203,-3.57%,
23-Jan-2022,35379.09,-3.56%,
09-May-2022,34497.78,-3.55%,
25-Jun-2020,9289.17,-3.54%,
10-May-2020,9648,-3.52%,
05-Aug-2022,22513.08,-3.48%,
08-Apr-2021,56224.08,-3.46%,
13-Oct-2021,55358.16,-3.45%,
07-Dec-2018,3594.45,-3.44%,
23-Nov-2019,7324.46,-3.43%,
23-Feb-2018,9921.19,-3.42%,
01-Sep-2021,47003,-3.41%,
02-Jul-2021,33408.91,-3.38%,
12-Nov-2019,8729.74,-3.38%,
27-Aug-2021,47028.5,-3.37%,
13-Jun-2018,6530.41,-3.37%,
26-Nov-2018,3677.78,-3.36%,
22-Apr-2023,27259,-3.35%,
13-Jul-2021,32837.5,-3.34%,
19-May-2021,43303.5,-3.33%,
10-Jun-2023,25769.25,-3.32%,
30-Apr-2022,38549.99,-3.32%,
15-Aug-2018,6070.35,-3.31%,
05-Dec-2020,18816.49,-3.31%,
18-Apr-2023,29460,-3.31%,
06-Jun-2021,35827.47,-3.31%,
12-Oct-2019,8296,-3.30%,
16-May-2018,8519.12,-3.30%,
15-Apr-2022,39907.21,-3.29%,
11-Jun-2022,29162.79,-3.28%,
25-Feb-2023,23097.03,-3.27%,
09-Dec-2018,3273.24,-3.25%,
21-Jun-2021,34932.68,-3.25%,
17-Dec-2019,6867,-3.22%,
25-May-2020,8937.49,-3.21%,
01-Apr-2022,45773.92,-3.20%,
28-May-2018,7286.99,-3.20%,
23-Mar-2018,8599,-3.20%,
24-Sep-2022,18631,-3.20%,
14-Feb-2018,8542.39,-3.19%,
22-Apr-2021,54982.7,-3.17%,
16-Jul-2021,31756,-3.16%,
22-Feb-2022,37064.7,-3.16%,
18-Jan-2022,41730.45,-3.15%,
29-Jun-2022,20240.53,-3.14%,
23-May-2019,7836,-3.14%,
28-Jan-2021,31001.12,-3.14%,
23-Oct-2021,60714.84,-3.12%,
12-May-2023,27007.75,-3.11%,
25-Aug-2019,10040,-3.09%,
11-Feb-2018,8277.34,-3.08%,
28-Aug-2022,20019.75,-3.06%,
08-Mar-2022,37826.79,-3.05%,
13-Jun-2021,36002.13,-3.05%,
15-Mar-2021,59718.75,-3.03%,
08-Mar-2020,8887.07,-3.03%,
02-Jan-2018,13500.75,-3.02%,
14-Jan-2019,3517.31,-3.02%,
24-Jul-2022,22328.75,-3.02%,
04-Jan-2022,45974.41,-3.01%,
24-Sep-2020,10222.5,-3.00%,
25-May-2023,26400,-3.00%,
20-Jan-2020,8648.25,-2.99%,
24-Jan-2020,8387.25,-2.97%,
21-Jul-2021,29859,-2.97%,
27-Jan-2018,10918,-2.96%,
28-Mar-2023,27044.25,-2.93%,
09-May-2018,9147.5,-2.92%,
25-Feb-2020,9614.6,-2.92%,
03-Mar-2021,47435.16,-2.91%,
19-May-2022,29204.75,-2.91%,
29-Oct-2020,13221.53,-2.90%,
26-May-2019,7873.7,-2.89%,
08-Jan-2022,41865.27,-2.89%,
10-Jan-2018,14510.14,-2.87%,
28-Jun-2020,8944.49,-2.86%,
13-Jul-2018,6173.9,-2.85%,
25-Nov-2019,7076.74,-2.85%,
21-Sep-2022,18966.82,-2.83%,
15-Dec-2018,3157.98,-2.83%,
24-Jan-2021,32384.25,-2.78%,
12-Feb-2022,42556.96,-2.78%,
27-Jun-2021,31296.3,-2.78%,
21-Mar-2022,41042.68,-2.75%,
31-Oct-2019,9186.25,-2.72%,
30-May-2021,34255.91,-2.71%,
06-Jul-2018,6504.6,-2.69%,
02-May-2018,9016.74,-2.69%,
23-Mar-2023,27400,-2.67%,
30-Apr-2021,52990.27,-2.67%,
12-Jun-2022,28384.75,-2.67%,
10-Jan-2020,7791,-2.66%,
14-Mar-2020,5570.19,-2.66%,
08-Nov-2022,20682.75,-2.66%,
20-Jul-2021,30772.25,-2.65%,
02-Aug-2018,7482.34,-2.64%,
21-Mar-2020,6087.6,-2.64%,
02-Aug-2022,23119.82,-2.64%,
17-May-2018,8296.07,-2.62%,
11-Sep-2021,45052,-2.62%,
26-Apr-2021,49652.95,-2.61%,
20-Aug-2020,11715.25,-2.59%,
10-May-2021,57487.75,-2.58%,
16-Oct-2019,8145.5,-2.57%,
22-Dec-2020,23135,-2.57%,
16-Jan-2019,3568.34,-2.57%,
15-Dec-2019,7071.25,-2.54%,
15-Mar-2019,3852.86,-2.54%,
18-Dec-2021,46873.16,-2.53%,
19-Jan-2023,20777,-2.52%,
19-Mar-2019,3971.16,-2.51%,
30-Oct-2018,6239.92,-2.50%,
08-Oct-2022,19551,-2.49%,
25-Mar-2023,27629.03,-2.48%,
20-Jan-2018,11350,-2.48%,
16-Dec-2022,17393.5,-2.45%,
31-Dec-2018,3817.49,-2.45%,
28-May-2022,28737.43,-2.44%,
05-Mar-2019,3699.68,-2.44%,
23-Apr-2022,39624.5,-2.42%,
17-Oct-2021,60999.09,-2.42%,
19-Aug-2020,12026.24,-2.42%,
26-Feb-2020,9383.34,-2.41%,
25-Apr-2019,5435,-2.39%,
26-Jul-2022,22164.54,-2.39%,
18-Aug-2022,23405,-2.39%,
19-Mar-2020,5334.44,-2.39%,
06-Feb-2023,22856,-2.38%,
10-Dec-2019,7351.83,-2.38%,
09-Jun-2021,33624.61,-2.37%,
30-Jun-2018,5899.3,-2.36%,
01-Jun-2023,27116.28,-2.36%,
11-Feb-2020,9861.48,-2.35%,
08-Aug-2020,11575,-2.34%,
18-Aug-2021,44975.26,-2.34%,
25-Aug-2021,48350,-2.33%,
22-Feb-2023,24202,-2.31%,
16-Jun-2018,6505.56,-2.29%,
04-Mar-2020,8737,-2.29%,
07-May-2023,28851,-2.29%,
04-Jan-2019,3794.5,-2.29%,
24-May-2022,29307.99,-2.28%,
09-Aug-2019,11591.14,-2.26%,
05-Nov-2021,61349.36,-2.25%,
19-May-2023,26723,-2.24%,
31-Jul-2022,23775.67,-2.23%,
07-May-2018,9514.59,-2.23%,
14-Jan-2022,42815.49,-2.23%,
29-Oct-2019,9458,-2.22%,
26-Mar-2020,6603.13,-2.20%,
17-Apr-2021,62006.83,-2.20%,
31-May-2018,7332.22,-2.19%,
17-Dec-2021,48091.97,-2.19%,
08-Jun-2023,26362.92,-2.19%,
27-Jan-2023,23080,-2.17%,
31-Dec-2019,7240.48,-2.16%,
02-Dec-2019,7324.5,-2.16%,
11-Jul-2022,20827.46,-2.16%,
19-Sep-2022,19645.75,-2.16%,
29-Sep-2021,41771.58,-2.15%,
17-Nov-2022,16529,-2.13%,
22-Aug-2020,11613.07,-2.12%,
01-Mar-2018,10533.68,-2.11%,
24-Sep-2019,9760.25,-2.11%,
05-Dec-2019,7179.68,-2.10%,
27-Jan-2021,32005.74,-2.09%,
31-May-2019,8462,-2.09%,
30-Sep-2019,7995.55,-2.08%,
26-Mar-2019,3890.74,-2.08%,
02-Oct-2022,19274.25,-2.08%,
04-Aug-2018,7393.51,-2.07%,
04-Apr-2023,27592,-2.06%,
14-Feb-2020,10173.48,-2.06%,
22-Mar-2021,57298.75,-2.05%,
24-Apr-2021,50543.35,-2.05%,
16-Nov-2019,8476.45,-2.04%,
04-Feb-2020,9269.25,-2.02%,
28-Aug-2020,11280.82,-2.02%,
18-Jun-2021,37743.41,-2.02%,
01-Dec-2021,57148.75,-2.02%,
02-Apr-2020,6345.37,-2.01%,
12-Jul-2022,20411.5,-2.00%,
15-Aug-2021,46665,-1.99%,
17-Oct-2020,11312,-1.99%,
04-Aug-2021,38062.45,-1.99%,
22-Apr-2022,40607.75,-1.98%,
13-Mar-2019,3864.2,-1.98%,
23-Aug-2018,6326.41,-1.97%,
17-Aug-2018,6249.38,-1.97%,
29-Nov-2022,16195,-1.96%,
10-Jul-2020,9241.47,-1.96%,
17-Oct-2019,7986,-1.96%,
15-Sep-2019,10245.95,-1.95%,
08-Nov-2020,15245.12,-1.94%,
14-Oct-2018,6195.67,-1.94%,
30-Aug-2020,11280.82,-1.93%,
05-Jun-2018,7528.9,-1.92%,
16-May-2021,48242.95,-1.92%,
19-Jun-2019,9122.75,-1.91%,
04-Jun-2022,29638,-1.90%,
