date,error,tweet count,token count
2022-03-29,,54,2958
2022-03-21,,54,2957
2022-02-22,,60,2951
2023-02-21,,49,2948
2021-01-28,,48,2943
2023-04-05,,51,2943
2022-02-10,,56,2941
2023-01-31,,49,2938
2022-04-12,,49,2920
2022-05-09,,52,2920
2021-02-24,,52,2914
2021-07-13,,51,2914
2023-04-12,,46,2912
2023-03-16,,47,2908
2022-06-14,,51,2906
2022-12-21,,52,2903
2021-02-26,,45,2898
2023-05-25,,49,2896
2021-04-02,,44,2895
2020-12-04,,46,2895
2021-07-06,,50,2893
2021-05-12,,45,2889
2023-05-19,,45,2888
2023-06-06,,51,2888
2021-11-23,,52,2888
2023-05-09,,50,2887
2022-05-16,,52,2885
2023-03-27,,51,2884
2021-07-22,,49,2884
2020-11-17,,58,2882
2023-05-23,,45,2878
2021-04-07,,41,2877
2023-05-31,,53,2877
2022-03-30,,50,2874
2023-01-03,,51,2872
2021-09-10,,50,2869
2021-07-08,,50,2866
2023-04-25,,41,2866
2022-11-15,,52,2866
2022-09-13,,50,2861
2022-11-09,,56,2860
2022-06-21,,48,2860
2023-05-05,,44,2860
2023-03-15,,54,2850
2022-03-02,,57,2847
2021-04-16,,43,2847
2021-05-17,,46,2846
2022-11-14,,52,2842
2021-02-18,,50,2840
2023-02-01,,50,2832
2023-02-28,,47,2830
2023-03-10,,45,2822
2021-11-03,,49,2821
2023-04-10,,47,2805
2023-04-27,,46,2799
2022-02-16,,59,2797
2022-02-23,,54,2795
2022-02-01,,64,2788
2021-05-03,,40,2787
2023-03-19,,48,2786
2021-02-15,,49,2785
2023-04-04,,47,2782
2022-02-28,,54,2778
2023-03-29,,46,2776
2021-10-07,,52,2775
2022-06-02,,44,2774
2021-03-22,,42,2771
2022-03-14,,51,2770
2022-01-14,,53,2768
2022-02-07,,55,2765
2021-03-01,,45,2764
2023-01-30,,49,2758
2023-02-07,,43,2758
2021-05-25,,43,2758
2022-03-31,,65,2754
2021-10-08,,46,2748
2021-02-01,,47,2746
2021-08-19,,45,2745
2022-03-16,,52,2743
2023-04-03,,40,2738
2021-09-29,,51,2737
2021-04-12,,39,2735
2021-07-09,,50,2734
2021-03-12,,42,2733
2022-05-03,,45,2729
2022-10-25,,54,2726
2023-03-30,,47,2725
2022-08-03,,45,2725
2022-08-01,,49,2720
2022-10-28,,47,2720
2023-05-15,,50,2712
2022-06-30,,50,2707
2021-03-26,,39,2707
2019-08-21,,44,2701
2022-06-08,,50,2691
2022-05-17,,44,2690
2023-01-20,,45,2687
2023-05-10,,43,2683
2021-03-03,,43,2681
2023-04-07,,43,2679
2023-05-04,,43,2679
2022-04-20,,50,2673
2022-10-04,,47,2671
2022-08-25,,44,2667
2022-03-22,,46,2665
2021-11-01,,44,2663
2023-02-16,,49,2662
2023-03-31,,41,2657
2021-09-02,,56,2655
2020-11-04,,42,2654
2022-11-10,,50,2652
2021-04-30,,40,2651
2022-05-25,,47,2649
2022-11-02,,47,2648
2022-06-23,,45,2646
2020-11-30,,49,2646
2021-07-14,,47,2646
2020-10-21,,52,2642
2021-06-28,,46,2641
2023-04-20,,43,2639
2022-04-01,,41,2639
2023-03-28,,42,2639
2022-06-07,,46,2635
2021-03-23,,40,2631
2022-06-29,,45,2631
2023-04-17,,46,2629
2021-01-27,,43,2626
2021-09-28,,47,2624
2023-05-01,,44,2624
2021-06-02,,41,2621
2023-01-18,,47,2621
2021-10-26,,48,2620
2023-03-14,,50,2617
2021-06-19,,41,2616
2021-09-21,,48,2616
2022-12-15,,44,2610
2022-09-07,,46,2607
2022-11-21,,43,2605
2020-12-26,,42,2599
2020-09-17,,47,2599
2022-10-12,,47,2596
2022-07-29,,46,2595
2022-07-27,,50,2593
2021-09-09,,53,2593
2022-11-22,,42,2592
2021-07-19,,45,2578
2023-02-02,,38,2578
2020-11-11,,52,2574
2021-08-26,,43,2573
2023-05-02,,41,2570
2022-12-20,,40,2568
2021-07-07,,48,2564
2021-10-31,,53,2563
2022-11-01,,41,2562
2021-09-22,,45,2558
2021-03-09,,41,2557
2022-12-12,,43,2555
2021-09-01,,45,2551
2022-11-23,,45,2550
2022-09-21,,44,2548
2022-03-28,,43,2545
2022-08-05,,38,2545
2021-01-22,,43,2545
2022-07-28,,40,2540
2022-12-09,,41,2539
2022-09-30,,45,2538
2023-01-24,,43,2535
2022-02-24,,49,2534
2022-06-22,,43,2533
2020-11-18,,46,2528
2022-04-06,,47,2526
2021-06-01,,37,2522
2021-11-05,,47,2518
2022-05-20,,43,2517
2021-05-14,,46,2508
2020-05-04,,36,2506
2022-10-10,,40,2501
2021-10-12,,56,2495
2023-04-19,,47,2495
2020-08-01,,34,2493
2022-03-15,,44,2491
2021-07-02,,43,2489
2021-11-22,,45,2489
2020-05-09,,34,2488
2022-04-22,,41,2487
2021-12-01,,42,2486
2022-02-15,,47,2486
2021-08-25,,47,2485
2022-07-06,,46,2484
2022-03-09,,46,2479
2022-02-04,,49,2477
2021-11-16,,44,2472
2021-03-17,,38,2467
2023-01-06,,36,2466
2021-11-09,,53,2463
2022-04-11,,45,2459
2022-08-12,,47,2459
2023-02-22,,41,2456
2023-02-20,,45,2455
2023-02-23,,42,2454
2021-12-08,,45,2451
2021-11-12,,50,2450
2021-07-01,,43,2449
2022-03-17,,46,2446
2022-10-11,,47,2446
2022-04-21,,38,2443
2020-12-22,,41,2436
2021-07-16,,41,2435
2021-05-31,,44,2433
2022-01-19,,48,2432
2021-02-05,,44,2428
2023-01-25,,40,2427
2021-01-13,,40,2419
2022-12-19,,39,2418
2022-05-12,,40,2415
2021-04-28,,36,2413
2022-04-15,,41,2412
2021-09-20,,41,2410
2020-06-02,,49,2407
2020-11-05,,49,2406
2022-06-13,,45,2405
2021-09-27,,40,2404
2021-03-04,,39,2399
2021-04-05,,37,2397
2022-10-06,,38,2394
2021-01-21,,41,2387
2021-03-10,,41,2385
2021-01-14,,42,2382
2022-11-16,,41,2380
2021-12-09,,42,2378
2021-12-06,,42,2378
2020-05-01,,41,2375
2022-03-01,,51,2373
2021-04-09,,36,2372
2023-06-07,,37,2371
2021-03-15,,39,2370
2021-11-17,,45,2369
2021-11-24,,41,2369
2021-03-18,,37,2368
2023-05-20,,41,2368
2022-08-31,,33,2362
2021-04-06,,33,2359
2021-10-25,,42,2357
2022-01-11,,48,2355
2022-07-19,,43,2345
2022-08-26,,41,2344
2023-06-13,,42,2341
2021-09-15,,44,2340
2021-08-27,,39,2339
2022-02-18,,50,2337
2021-11-15,,42,2336
2022-07-21,,39,2335
2021-11-19,,51,2331
2021-01-25,,38,2327
2021-02-07,,40,2327
2022-01-26,,43,2327
2022-08-30,,40,2326
2022-08-29,,41,2326
2021-11-18,,41,2324
2021-03-06,,33,2322
2022-10-03,,41,2320
2021-09-30,,45,2319
2022-09-26,,36,2318
2021-02-02,,44,2318
2022-03-11,,42,2318
2022-12-16,,40,2317
2021-09-08,,43,2314
2023-02-27,,40,2310
2023-04-15,,41,2308
2023-04-28,,40,2305
2022-11-30,,42,2304
2023-01-04,,35,2302
2022-09-01,,45,2302
2021-05-11,,32,2301
2020-07-27,,44,2296
2021-02-13,,44,2295
2021-07-23,,37,2294
2021-04-10,,38,2287
2022-01-24,,43,2287
2022-01-17,,48,2286
2021-07-15,,40,2286
2022-01-10,,42,2285
2021-01-06,,43,2283
2021-06-20,,39,2283
2022-01-25,,45,2281
2022-05-06,,40,2281
2021-01-19,,42,2279
2020-10-22,,37,2279
2023-01-27,,36,2278
2020-12-29,,39,2271
2021-10-01,,39,2270
2022-02-17,,46,2267
2023-01-17,,44,2263
2021-08-30,,37,2260
2023-02-06,,40,2260
2021-11-29,,39,2259
2022-09-14,,38,2258
2022-11-11,,42,2255
2022-12-01,,39,2254
2023-02-11,,37,2254
2023-06-05,,40,2253
2022-11-07,,41,2253
2022-01-28,,41,2250
2020-12-01,,40,2249
2021-09-13,,40,2247
2022-03-04,,41,2245
2021-08-31,,42,2245
2022-12-02,,39,2238
2021-10-29,,41,2233
2022-08-10,,37,2230
2022-03-10,,40,2227
2023-05-03,,33,2225
2021-12-22,,39,2224
2022-06-28,,38,2223
2022-09-22,,38,2219
2022-05-11,,42,2218
2020-12-08,,41,2213
2022-09-29,,37,2211
2021-07-12,,41,2205
2022-08-18,,38,2203
2022-05-26,,37,2202
2020-05-05,,35,2200
2022-09-20,,44,2198
2020-12-19,,34,2197
2022-04-19,,40,2188
2022-12-08,,37,2186
2022-01-18,,41,2185
